transaction_id,customer_id,amount,failure_reason,previous_successes,previous_failures,customer_lifetime_value,retry_count,days_since_last_payment,checkout_duration,payment_method,risk_score,recovered
TXN-00101,CUST-7581,42642.74,expired_card,7,4,166443.33,2,172,205,upi,0.567,0
TXN-00102,CUST-8616,21842.88,insufficient_balance,11,3,148975.19,0,72,91,netbanking,0.278,0
TXN-00103,CUST-1182,22633.17,temporary_bank_decline,9,2,88269.16,1,107,386,netbanking,0.332,1
TXN-00104,CUST-9611,43736.28,authentication_failure,10,3,1311.46,2,174,347,netbanking,0.551,0
TXN-00105,CUST-2628,18578.84,temporary_bank_decline,4,3,73022.08,2,10,214,card,0.258,1
TXN-00106,CUST-7563,3508.9,insufficient_balance,4,2,25477.66,0,127,227,netbanking,0.171,1
TXN-00107,CUST-1913,33713.74,temporary_bank_decline,12,2,34205.18,4,7,200,netbanking,0.393,0
TXN-00108,CUST-7268,31917.74,temporary_bank_decline,7,3,97632.35,2,67,79,card,0.285,0
TXN-00109,CUST-8730,23034.45,authentication_failure,12,1,31674.86,0,141,369,netbanking,0.15,1
TXN-00110,CUST-7207,9023.11,authentication_failure,10,2,65838.8,1,19,169,card,0.185,0
TXN-00111,CUST-9125,29732.12,temporary_bank_decline,6,2,193951.94,2,147,308,netbanking,0.305,0
TXN-00112,CUST-6845,38137.55,expired_card,12,4,176809.49,2,69,17,card,0.474,1
TXN-00113,CUST-4175,36190.81,network_error,8,3,3848.74,0,36,29,card,0.288,0
TXN-00114,CUST-3555,20075.19,expired_card,7,1,21087.3,1,168,379,card,0.242,1
TXN-00115,CUST-8651,43197.36,authentication_failure,4,3,7700.17,2,53,317,card,0.441,0
TXN-00116,CUST-2884,31314.24,authentication_failure,8,1,99842.39,1,82,358,card,0.23,0
TXN-00117,CUST-3224,2533.23,temporary_bank_decline,4,1,63937.76,2,121,581,upi,0.251,0
TXN-00118,CUST-2124,18990.22,authentication_failure,8,1,37378.64,3,11,456,card,0.275,0
TXN-00119,CUST-2772,25028.83,insufficient_balance,6,1,110861.8,3,31,532,netbanking,0.348,1
TXN-00120,CUST-9016,14906.01,temporary_bank_decline,9,1,23190.93,1,53,48,upi,0.198,0
TXN-00121,CUST-5063,6393.55,network_error,5,3,63060.91,3,16,469,wallet,0.313,0
TXN-00122,CUST-9707,16738.55,expired_card,13,0,31313.23,2,157,493,upi,0.262,1
TXN-00123,CUST-3606,47897.93,network_error,9,3,162413.63,3,95,416,netbanking,0.503,1
TXN-00124,CUST-9811,3219.32,insufficient_balance,7,4,185803.4,1,78,306,card,0.238,0
TXN-00125,CUST-7976,42213.75,authentication_failure,14,2,158726.43,2,125,358,upi,0.486,1
TXN-00126,CUST-4743,23020.09,temporary_bank_decline,12,2,49915.68,4,108,177,card,0.479,1
TXN-00127,CUST-6520,25733.47,insufficient_balance,4,1,124785.87,4,116,95,netbanking,0.454,0
TXN-00128,CUST-5570,7579.26,network_error,9,4,177888.6,1,116,113,card,0.341,0
TXN-00129,CUST-6634,3636.58,insufficient_balance,12,1,26445.49,0,57,513,upi,0.055,1
TXN-00130,CUST-4273,44160.17,expired_card,7,2,55016.28,0,126,500,netbanking,0.415,0
TXN-00131,CUST-1680,1229.43,temporary_bank_decline,8,3,194511.58,1,104,100,netbanking,0.211,1
TXN-00132,CUST-1992,9922.98,expired_card,13,0,167960.47,1,33,274,card,0.12,1
TXN-00133,CUST-8951,48358.36,authentication_failure,8,1,62647.78,1,120,26,netbanking,0.408,0
TXN-00134,CUST-4560,49098.9,expired_card,4,1,82919.44,0,5,573,upi,0.194,0
TXN-00135,CUST-2988,34335.11,expired_card,8,1,56292.7,1,63,365,card,0.203,1
TXN-00136,CUST-3849,9652.8,expired_card,9,0,119476.57,2,157,499,card,0.279,0
TXN-00137,CUST-5396,35248.86,temporary_bank_decline,7,0,24296.14,0,10,83,wallet,0.077,1
TXN-00138,CUST-5017,29229.72,temporary_bank_decline,9,1,149928.49,0,156,371,upi,0.364,1
TXN-00139,CUST-2526,35759.83,insufficient_balance,4,1,54890.46,1,40,207,upi,0.337,0
TXN-00140,CUST-1679,41956.89,authentication_failure,10,3,74321.34,4,137,572,upi,0.589,1
TXN-00141,CUST-1644,22238.77,insufficient_balance,6,1,12179.04,3,129,7,upi,0.341,0
TXN-00142,CUST-8024,39368.81,expired_card,9,1,16250.53,0,55,548,netbanking,0.164,1
TXN-00143,CUST-5384,5307.88,temporary_bank_decline,11,1,139095.97,4,145,251,upi,0.378,1
TXN-00144,CUST-1018,17392.45,expired_card,7,1,49502.17,2,118,386,upi,0.193,0
TXN-00145,CUST-2776,34013.13,insufficient_balance,6,4,196106.68,0,71,273,netbanking,0.317,0
TXN-00146,CUST-9575,30644.56,insufficient_balance,13,1,102601.8,2,169,433,card,0.481,0
TXN-00147,CUST-7003,10332.94,insufficient_balance,7,2,199439.29,2,67,7,upi,0.248,0
TXN-00148,CUST-8871,2456.9,authentication_failure,8,0,116622.0,0,58,372,netbanking,0.001,0
TXN-00149,CUST-7859,35719.15,temporary_bank_decline,8,3,83579.27,2,54,532,card,0.34,0
TXN-00150,CUST-4940,36272.35,authentication_failure,12,2,56413.05,2,100,590,netbanking,0.424,0
TXN-00151,CUST-3735,37442.36,expired_card,10,0,103326.01,4,104,81,netbanking,0.46,0
TXN-00152,CUST-7047,41367.27,temporary_bank_decline,7,4,3726.01,3,48,505,card,0.507,1
TXN-00153,CUST-6741,6805.7,authentication_failure,5,0,128026.13,2,171,454,upi,0.295,1
TXN-00154,CUST-4505,18700.0,expired_card,13,2,129207.09,0,150,68,upi,0.194,0
TXN-00155,CUST-2262,1153.41,expired_card,13,1,11345.88,4,40,344,netbanking,0.211,1
TXN-00156,CUST-9954,34236.0,expired_card,10,0,70153.91,4,119,272,netbanking,0.403,0
TXN-00157,CUST-3148,23561.54,temporary_bank_decline,7,1,65924.53,4,94,572,card,0.471,0
TXN-00158,CUST-7324,8671.75,expired_card,9,2,63026.28,3,112,450,upi,0.336,0
TXN-00159,CUST-3032,21046.64,temporary_bank_decline,14,2,72919.35,2,48,22,upi,0.306,1
TXN-00160,CUST-5482,8939.48,insufficient_balance,9,0,56449.97,3,131,241,wallet,0.364,1
TXN-00161,CUST-4129,44720.46,insufficient_balance,6,2,150583.56,4,127,280,card,0.564,0
TXN-00162,CUST-8069,12006.82,network_error,11,3,95661.88,2,94,571,card,0.297,0
TXN-00163,CUST-8850,27647.77,expired_card,5,0,145195.06,0,136,76,upi,0.161,0
TXN-00164,CUST-2051,32645.48,authentication_failure,9,1,59210.77,4,115,454,wallet,0.491,0
TXN-00165,CUST-1183,42435.84,expired_card,8,2,68654.4,2,28,214,upi,0.284,0
TXN-00166,CUST-3230,29841.6,authentication_failure,13,0,43277.01,4,44,286,netbanking,0.42,0
TXN-00167,CUST-8409,5531.45,authentication_failure,11,3,71671.2,2,112,368,upi,0.401,1
TXN-00168,CUST-5939,28116.87,network_error,5,1,117430.61,4,73,575,upi,0.407,0
TXN-00169,CUST-2449,43680.82,temporary_bank_decline,8,0,24024.56,0,76,443,wallet,0.184,1
TXN-00170,CUST-8984,41212.9,insufficient_balance,7,2,45026.5,4,143,513,upi,0.565,0
TXN-00171,CUST-6184,21153.91,expired_card,10,2,138973.7,2,147,126,netbanking,0.289,0
TXN-00172,CUST-5066,22316.94,network_error,7,1,44797.65,4,31,140,upi,0.356,1
TXN-00173,CUST-4177,4750.43,network_error,7,2,153857.51,1,146,428,card,0.243,0
TXN-00174,CUST-8415,517.68,temporary_bank_decline,12,3,187767.43,1,83,129,card,0.099,1
TXN-00175,CUST-7197,21023.61,expired_card,5,2,47528.75,2,85,409,card,0.27,0
TXN-00176,CUST-3059,10842.17,network_error,7,2,2245.24,1,59,287,netbanking,0.205,0
TXN-00177,CUST-2404,20642.69,temporary_bank_decline,4,0,39456.63,4,175,80,card,0.489,0
TXN-00178,CUST-3581,22216.93,insufficient_balance,8,1,82282.66,1,100,34,upi,0.278,0
TXN-00179,CUST-1287,16998.09,authentication_failure,6,1,10013.63,2,165,282,card,0.38,1
TXN-00180,CUST-7553,31045.62,temporary_bank_decline,11,1,178092.76,3,65,563,netbanking,0.388,0
TXN-00181,CUST-9745,14534.0,temporary_bank_decline,7,0,76242.05,3,25,100,upi,0.26,1
TXN-00182,CUST-2409,12703.79,temporary_bank_decline,6,2,6540.94,1,96,509,card,0.187,1
TXN-00183,CUST-3776,33258.46,authentication_failure,7,1,183536.35,3,150,458,card,0.533,1
TXN-00184,CUST-4866,15532.74,temporary_bank_decline,8,1,137240.61,0,87,146,card,0.16,0
TXN-00185,CUST-3778,20220.96,network_error,3,2,3566.6,4,35,205,netbanking,0.448,1
TXN-00186,CUST-8531,12166.9,network_error,5,4,66061.26,0,81,330,upi,0.304,1
TXN-00187,CUST-7578,34732.42,temporary_bank_decline,8,3,25984.41,1,90,30,card,0.388,0
TXN-00188,CUST-6540,29362.27,temporary_bank_decline,7,1,179689.12,2,52,380,wallet,0.256,0
TXN-00189,CUST-9989,1242.52,insufficient_balance,8,2,24969.02,3,111,317,card,0.311,0
TXN-00190,CUST-7106,25065.29,temporary_bank_decline,6,2,79992.65,0,7,282,card,0.138,1
TXN-00191,CUST-5516,17036.6,network_error,5,3,69750.69,2,36,287,card,0.341,0
TXN-00192,CUST-4494,4214.65,temporary_bank_decline,11,2,144691.15,2,101,361,netbanking,0.281,0
TXN-00193,CUST-7748,49129.56,expired_card,6,0,120292.77,2,166,425,netbanking,0.422,0
TXN-00194,CUST-9671,3591.83,network_error,5,1,83609.86,2,119,437,card,0.251,1
TXN-00195,CUST-7019,41894.41,network_error,4,1,120003.81,3,111,298,upi,0.495,0
TXN-00196,CUST-4862,565.24,expired_card,6,5,66747.9,0,50,16,netbanking,0.233,0
TXN-00197,CUST-3653,49477.37,temporary_bank_decline,6,2,98439.17,3,68,253,wallet,0.541,0
TXN-00198,CUST-7869,24622.34,insufficient_balance,5,2,125921.34,2,147,39,upi,0.496,0
TXN-00199,CUST-7040,9208.42,expired_card,10,2,104402.72,3,163,448,card,0.408,0
TXN-00200,CUST-8966,20572.44,authentication_failure,10,1,165672.25,2,170,139,upi,0.398,0
TXN-00201,CUST-7079,9948.63,network_error,7,1,181695.0,4,38,79,wallet,0.296,0
TXN-00202,CUST-8016,27616.48,insufficient_balance,8,4,36976.24,1,80,443,upi,0.427,0
TXN-00203,CUST-4332,4262.43,temporary_bank_decline,5,1,130226.39,0,109,141,card,0.171,1
TXN-00204,CUST-2174,28316.61,insufficient_balance,10,0,28486.93,4,164,380,upi,0.551,1
TXN-00205,CUST-9516,19419.79,authentication_failure,5,0,193076.72,1,103,110,upi,0.195,0
TXN-00206,CUST-7691,11764.79,expired_card,11,1,97748.56,2,72,596,netbanking,0.276,1
TXN-00207,CUST-2335,7505.42,insufficient_balance,11,2,150613.2,2,20,116,netbanking,0.227,0
TXN-00208,CUST-9307,32412.49,insufficient_balance,8,2,115987.77,2,127,213,netbanking,0.422,0
TXN-00209,CUST-9543,23545.74,temporary_bank_decline,7,0,70609.42,1,36,251,card,0.167,0
TXN-00210,CUST-5435,29214.91,temporary_bank_decline,6,0,93056.12,4,153,554,upi,0.313,1
TXN-00211,CUST-3925,21225.17,network_error,10,3,11891.81,0,170,269,upi,0.358,0
TXN-00212,CUST-1294,43834.39,temporary_bank_decline,8,2,47294.69,1,106,476,upi,0.345,1
TXN-00213,CUST-2867,40790.59,insufficient_balance,5,2,56609.62,1,68,498,netbanking,0.343,0
TXN-00214,CUST-3657,47711.3,insufficient_balance,3,2,107979.34,2,63,578,netbanking,0.403,0
TXN-00215,CUST-7681,42031.89,insufficient_balance,10,1,173065.82,4,65,183,upi,0.443,0
TXN-00216,CUST-9081,25686.67,authentication_failure,11,1,62751.39,4,140,154,upi,0.458,0
TXN-00217,CUST-1616,11181.34,temporary_bank_decline,10,3,96153.63,2,79,583,card,0.315,0
TXN-00218,CUST-5593,16872.49,network_error,7,0,48259.18,1,51,60,upi,0.2,1
TXN-00219,CUST-5212,23731.27,expired_card,6,3,41227.73,0,145,233,upi,0.342,0
TXN-00220,CUST-1154,28606.39,network_error,8,1,178157.09,4,132,342,upi,0.423,0
TXN-00221,CUST-8433,23358.81,authentication_failure,13,2,158993.09,4,118,50,netbanking,0.435,0
TXN-00222,CUST-8067,3312.85,network_error,8,1,76715.9,2,68,463,netbanking,0.313,0
TXN-00223,CUST-2532,21552.46,authentication_failure,3,1,147895.49,3,46,187,netbanking,0.308,0
TXN-00224,CUST-2032,25880.69,authentication_failure,6,2,170429.74,4,48,447,card,0.43,0
TXN-00225,CUST-4840,31839.1,network_error,4,4,186102.88,3,119,242,netbanking,0.503,0
TXN-00226,CUST-4732,28307.95,authentication_failure,12,2,104343.23,1,112,12,upi,0.375,1
TXN-00227,CUST-9119,7014.89,expired_card,9,0,125080.32,2,10,124,upi,0.068,1
TXN-00228,CUST-3135,37557.63,temporary_bank_decline,10,2,188811.84,1,18,233,upi,0.359,1
TXN-00229,CUST-7233,30937.54,expired_card,12,1,20032.5,1,53,534,upi,0.167,0
TXN-00230,CUST-1654,25862.2,temporary_bank_decline,7,2,8007.82,3,73,548,upi,0.405,0
TXN-00231,CUST-7964,10249.39,temporary_bank_decline,9,1,30443.71,2,168,465,card,0.291,1
TXN-00232,CUST-3883,16031.65,temporary_bank_decline,3,1,127276.74,3,56,103,wallet,0.236,1
TXN-00233,CUST-8082,31499.41,insufficient_balance,6,1,41494.11,3,95,285,card,0.458,1
TXN-00234,CUST-6565,47394.77,expired_card,8,1,34435.99,1,17,372,netbanking,0.374,0
TXN-00235,CUST-5573,33304.01,insufficient_balance,5,1,74281.77,2,43,384,upi,0.277,1
TXN-00236,CUST-1402,19425.34,expired_card,8,0,165466.46,4,84,211,card,0.351,0
TXN-00237,CUST-8892,15384.18,expired_card,6,2,197636.69,1,41,235,upi,0.157,0
TXN-00238,CUST-5992,4144.81,insufficient_balance,2,2,58760.77,1,161,450,upi,0.141,1
TXN-00239,CUST-5332,39302.46,network_error,7,1,190476.64,2,128,197,netbanking,0.342,0
TXN-00240,CUST-6585,25620.91,temporary_bank_decline,9,2,33128.09,1,59,333,card,0.354,0
TXN-00241,CUST-8378,14518.06,temporary_bank_decline,11,3,34922.04,0,129,339,card,0.252,1
TXN-00242,CUST-7654,17031.48,expired_card,6,2,141684.31,2,167,86,upi,0.325,0
TXN-00243,CUST-7523,29144.53,insufficient_balance,10,1,46833.53,3,88,221,card,0.269,0
TXN-00244,CUST-6495,48750.23,temporary_bank_decline,10,2,168482.78,1,101,420,card,0.361,0
TXN-00245,CUST-4395,43909.07,temporary_bank_decline,5,1,173379.18,2,3,328,card,0.251,1
TXN-00246,CUST-7183,37380.84,temporary_bank_decline,4,2,36028.93,2,22,371,netbanking,0.385,1
TXN-00247,CUST-7559,21674.28,temporary_bank_decline,2,2,109829.35,3,162,583,card,0.333,0
TXN-00248,CUST-8406,32693.3,network_error,5,1,61058.21,3,89,339,netbanking,0.478,0
TXN-00249,CUST-3707,12739.98,network_error,8,0,117422.0,1,156,518,upi,0.246,0
TXN-00250,CUST-3226,31377.52,authentication_failure,3,0,52749.56,4,53,228,card,0.325,0
TXN-00251,CUST-2074,21950.54,authentication_failure,9,0,136509.7,2,99,295,wallet,0.264,1
TXN-00252,CUST-9399,5031.51,temporary_bank_decline,10,6,12361.77,4,15,127,card,0.434,1
TXN-00253,CUST-6785,23073.32,expired_card,9,0,182312.98,4,20,268,upi,0.339,0
TXN-00254,CUST-7697,37705.32,network_error,8,0,199665.43,0,73,253,card,0.271,1
TXN-00255,CUST-4549,10452.92,expired_card,8,4,167057.19,3,150,408,card,0.367,1
TXN-00256,CUST-3441,10653.92,authentication_failure,6,2,42413.1,2,144,275,upi,0.282,0
TXN-00257,CUST-3642,315.71,network_error,9,1,109588.06,4,164,32,upi,0.41,0
TXN-00258,CUST-2308,39819.8,authentication_failure,4,0,184822.55,4,178,468,upi,0.567,0
TXN-00259,CUST-5195,2142.52,authentication_failure,13,3,86598.4,3,99,393,wallet,0.35,0
TXN-00260,CUST-5207,43809.12,insufficient_balance,2,1,158481.22,4,4,86,card,0.45,0
TXN-00261,CUST-1470,49967.64,expired_card,10,1,55071.8,2,30,390,upi,0.296,1
TXN-00262,CUST-3073,14217.57,network_error,3,3,142008.13,2,127,166,card,0.38,1
TXN-00263,CUST-5423,31819.5,network_error,10,1,90485.72,2,125,546,card,0.348,0
TXN-00264,CUST-9989,34551.6,network_error,11,0,70992.3,1,117,286,upi,0.288,1
TXN-00265,CUST-1943,45604.05,insufficient_balance,7,3,44327.25,1,70,154,upi,0.39,1
TXN-00266,CUST-7794,18915.9,network_error,6,3,17758.39,2,70,436,upi,0.235,1
TXN-00267,CUST-3024,14613.93,expired_card,4,1,81972.79,2,150,360,netbanking,0.333,0
TXN-00268,CUST-2428,1178.64,network_error,7,0,158226.57,0,48,441,card,0.109,0
TXN-00269,CUST-4677,42240.46,expired_card,3,2,43906.34,3,46,219,card,0.424,0
TXN-00270,CUST-1453,20102.97,insufficient_balance,6,1,190709.96,4,93,24,card,0.39,1
TXN-00271,CUST-9699,16307.45,network_error,9,0,24770.33,3,53,472,upi,0.232,1
TXN-00272,CUST-4401,40787.76,expired_card,2,3,90053.08,1,128,593,wallet,0.38,0
TXN-00273,CUST-8860,43709.17,insufficient_balance,7,0,101721.83,0,21,405,upi,0.215,0
TXN-00274,CUST-3850,24750.54,temporary_bank_decline,11,0,48530.19,4,11,404,upi,0.332,0
TXN-00275,CUST-8710,22475.68,insufficient_balance,8,2,113183.68,4,175,467,netbanking,0.447,0
